Year,Week,Resort,VisitorDays,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Highest Lifted Point,Lowest Lifted Point,Skiable Area,Snow Making Area,Lifts
2020,8,Mt. Hotham,4401,83085,4.06,-1.57,0.26,1945m,1450m,320ha,25ha,13
2020,9,Mt. Hotham,3476,83085,-0.61,-5.14,1.46,1945m,1450m,320ha,25ha,13
2020,10,Mt. Hotham,1043,83085,2.14,-1.1,2.43,1945m,1450m,320ha,25ha,13
2020,11,Mt. Hotham,0,83085,-1.71,-4.47,5.86,1945m,1450m,320ha,25ha,13
2020,12,Mt. Hotham,0,83085,0.93,-4.24,0.43,1945m,1450m,320ha,25ha,13
2020,13,Mt. Hotham,0,83085,3.91,-1.79,0.17,1945m,1450m,320ha,25ha,13
2020,14,Mt. Hotham,0,83085,7.31,0.73,2.26,1945m,1450m,320ha,25ha,13
2020,15,Mt. Hotham,0,83085,8.79,1.7,0.97,1945m,1450m,320ha,25ha,13
2021,1,Mt. Hotham,3992,83085,1.14,-2.31,3.26,1945m,1450m,320ha,25ha,13
2021,2,Mt. Hotham,9086,83085,0.53,-2.7,0.49,1945m,1450m,320ha,25ha,13
2021,3,Mt. Hotham,16742,83085,1.06,-2.21,1.03,1945m,1450m,320ha,25ha,13
2021,4,Mt. Hotham,28047,83085,-0.3,-3.39,1.8,1945m,1450m,320ha,25ha,13
2021,5,Mt. Hotham,35270,83085,0.49,-3.49,0.26,1945m,1450m,320ha,25ha,13
2021,6,Mt. Hotham,13693,83085,-0.54,-3.57,4.34,1945m,1450m,320ha,25ha,13
2021,7,Mt. Hotham,6750,83085,-1.44,-4.56,3.54,1945m,1450m,320ha,25ha,13
2021,8,Mt. Hotham,18858,83085,-0.23,-3.6,2.6,1945m,1450m,320ha,25ha,13
2021,9,Mt. Hotham,27982,83085,0.59,-3.11,2.06,1945m,1450m,320ha,25ha,13
2021,10,Mt. Hotham,16215,83085,0.47,-2.57,1.71,1945m,1450m,320ha,25ha,13
2021,11,Mt. Hotham,15773,83085,1.44,-1.77,0.11,1945m,1450m,320ha,25ha,13
2021,12,Mt. Hotham,4200,83085,0.26,-3.51,1.57,1945m,1450m,320ha,25ha,13
2021,13,Mt. Hotham,4200,83085,4.6,-1.14,0.46,1945m,1450m,320ha,25ha,13
2021,14,Mt. Hotham,5617,83085,3.36,-1.47,0.43,1945m,1450m,320ha,25ha,13
2021,15,Mt. Hotham,11309,83085,1.93,-2.6,0.8,1945m,1450m,320ha,25ha,13
2022,1,Mt. Hotham,16726,83085,-1.06,-4.37,0.11,1945m,1450m,320ha,25ha,13
2022,2,Mt. Hotham,17273,83085,0.9,-1.79,2.43,1945m,1450m,320ha,25ha,13
2022,3,Mt. Hotham,17846,83085,1.73,-3.09,5.11,1945m,1450m,320ha,25ha,13
2022,4,Mt. Hotham,32710,83085,2.1,-4.23,0.4,1945m,1450m,320ha,25ha,13
2022,5,Mt. Hotham,39827,83085,-1.1,-3.97,0.71,1945m,1450m,320ha,25ha,13
2022,6,Mt. Hotham,34135,83085,-1.46,-6.1,0.09,1945m,1450m,320ha,25ha,13
2022,7,Mt. Hotham,34204,83085,1.76,-2.26,2.54,1945m,1450m,320ha,25ha,13
2022,8,Mt. Hotham,32560,83085,0.27,-4.3,2.86,1945m,1450m,320ha,25ha,13
2022,9,Mt. Hotham,34634,83085,4.37,-3.07,3.71,1945m,1450m,320ha,25ha,13
2022,10,Mt. Hotham,37253,83085,2.22,-2.67,2.44,1945m,1450m,320ha,25ha,13
2022,11,Mt. Hotham,34672,83085,-0.3,-4.19,4.66,1945m,1450m,320ha,25ha,13
2022,12,Mt. Hotham,33389,83085,3.92,-0.67,1.8,1945m,1450m,320ha,25ha,13
2022,13,Mt. Hotham,29398,83085,2.55,0,0.4,1945m,1450m,320ha,25ha,13
2022,14,Mt. Hotham,21856,83085,1.09,-0.7,1.86,1945m,1450m,320ha,25ha,13
2022,15,Mt. Hotham,18981,83085,-0.37,-1.4,4.31,1945m,1450m,320ha,25ha,13
2023,1,Mt. Hotham,5318,83085,0.73,-1.98,1.16,1945m,1450m,320ha,25ha,13
2023,2,Mt. Hotham,8241,83085,0.76,-1.6,1.49,1945m,1450m,320ha,25ha,13
2023,3,Mt. Hotham,18549,83085,0.21,-1.72,0.03,1945m,1450m,320ha,25ha,13
2023,4,Mt. Hotham,33179,83085,2.44,-1.37,1.91,1945m,1450m,320ha,25ha,13
2023,5,Mt. Hotham,34315,83085,0.33,-2.23,0.57,1945m,1450m,320ha,25ha,13
2023,6,Mt. Hotham,44648,83085,1.41,-2.46,0.54,1945m,1450m,320ha,25ha,13
2023,7,Mt. Hotham,35497,83085,2.21,-2.2,0.31,1945m,1450m,320ha,25ha,13
2023,8,Mt. Hotham,34086,83085,2.87,-0.51,2.86,1945m,1450m,320ha,25ha,13
2023,9,Mt. Hotham,34067,83085,3.63,-1.1,0.14,1945m,1450m,320ha,25ha,13
2023,10,Mt. Hotham,35521,83085,0.8,-3.54,1.97,1945m,1450m,320ha,25ha,13
2023,11,Mt. Hotham,37115,83085,3.91,-1.56,2.49,1945m,1450m,320ha,25ha,13
2023,12,Mt. Hotham,30944,83085,5.14,0.07,3.23,1945m,1450m,320ha,25ha,13
2023,13,Mt. Hotham,22969,83085,8.48,0.01,0.34,1945m,1450m,320ha,25ha,13
2023,14,Mt. Hotham,15149,83085,7.04,0.46,1.26,1945m,1450m,320ha,25ha,13
2023,15,Mt. Hotham,9148,83085,4.79,-0.28,0.06,1945m,1450m,320ha,25ha,13
2024,1,Mt. Hotham,2079,83085,2.11,-3.17,1.63,1945m,1450m,320ha,25ha,13
2024,2,Mt. Hotham,4269,83085,0.46,-4.99,0.03,1945m,1450m,320ha,25ha,13
2024,3,Mt. Hotham,6033,83085,0.59,-2.94,2.54,1945m,1450m,320ha,25ha,13
2024,4,Mt. Hotham,11558,83085,0.36,-4.99,0.06,1945m,1450m,320ha,25ha,13
2024,5,Mt. Hotham,27353,83085,1.76,-1.64,3.89,1945m,1450m,320ha,25ha,13
2024,6,Mt. Hotham,31258,83085,-1.24,-5.14,0.54,1945m,1450m,320ha,25ha,13
2024,7,Mt. Hotham,36427,83085,-0.11,-2.77,1.03,1945m,1450m,320ha,25ha,13
2024,8,Mt. Hotham,24401,83085,-0.27,-5.57,1.03,1945m,1450m,320ha,25ha,13
2024,9,Mt. Hotham,25904,83085,1.37,-3.39,0.97,1945m,1450m,320ha,25ha,13
2024,10,Mt. Hotham,25139,83085,4.86,1.37,0.14,1945m,1450m,320ha,25ha,13
2024,11,Mt. Hotham,24260,83085,3.47,-0.06,3.6,1945m,1450m,320ha,25ha,13
2024,12,Mt. Hotham,19289,83085,2.87,-0.61,4.69,1945m,1450m,320ha,25ha,13
2024,13,Mt. Hotham,14487,83085,4.71,-1.36,2.29,1945m,1450m,320ha,25ha,13
2024,14,Mt. Hotham,2700,83085,4.63,-1,1.46,1945m,1450m,320ha,25ha,13
2024,15,Mt. Hotham,0,83085,1.67,-4.13,0.74,1945m,1450m,320ha,25ha,13
2014,1,Falls Creek,2790,83084,4.6,-0.3,3.4,1780m,1500m,450ha,100ha,15
2014,2,Falls Creek,1425,83084,4.41,-0.29,1.09,1780m,1500m,450ha,100ha,15
2014,3,Falls Creek,2101,83084,0.1,-2.83,3.51,1780m,1500m,450ha,100ha,15
2014,4,Falls Creek,9544,83084,1.39,-2.69,3.46,1780m,1500m,450ha,100ha,15
2014,5,Falls Creek,26211,83084,-0.73,-3.76,1.94,1780m,1500m,450ha,100ha,15
2014,6,Falls Creek,33392,83084,0.29,-3.96,4,1780m,1500m,450ha,100ha,15
2014,7,Falls Creek,28149,83084,3.1,-0.89,1.23,1780m,1500m,450ha,100ha,15
2014,8,Falls Creek,24565,83084,0.19,-3.33,2.29,1780m,1500m,450ha,100ha,15
2014,9,Falls Creek,28981,83084,2.37,-2.57,0.29,1780m,1500m,450ha,100ha,15
2014,10,Falls Creek,33125,83084,3.4,-4.54,0,1780m,1500m,450ha,100ha,15
2014,11,Falls Creek,36486,83084,4.43,-0.49,0.63,1780m,1500m,450ha,100ha,15
2014,12,Falls Creek,34468,83084,7.03,0.07,1.29,1780m,1500m,450ha,100ha,15
2014,13,Falls Creek,30104,83084,3.53,-2.1,0.94,1780m,1500m,450ha,100ha,15
2014,14,Falls Creek,23864,83084,5.7,-0.2,0.6,1780m,1500m,450ha,100ha,15
2014,15,Falls Creek,15869,83084,5.77,-1.87,0.43,1780m,1500m,450ha,100ha,15
2015,1,Falls Creek,4799,83084,7.23,0.16,0.03,1780m,1500m,450ha,100ha,15
2015,2,Falls Creek,3293,83084,2.16,-2.03,1.83,1780m,1500m,450ha,100ha,15
2015,3,Falls Creek,5965,83084,7,-0.44,1.03,1780m,1500m,450ha,100ha,15
2015,4,Falls Creek,11758,83084,1.37,-3.91,0.46,1780m,1500m,450ha,100ha,15
2015,5,Falls Creek,20779,83084,0.54,-2.97,2.54,1780m,1500m,450ha,100ha,15
2015,6,Falls Creek,24064,83084,-1.27,-5.5,0.83,1780m,1500m,450ha,100ha,15
2015,7,Falls Creek,27566,83084,0.2,-2.34,3.06,1780m,1500m,450ha,100ha,15
2015,8,Falls Creek,25955,83084,-0.4,-3.61,0.63,1780m,1500m,450ha,100ha,15
2015,9,Falls Creek,31872,83084,-0.29,-5.11,0.4,1780m,1500m,450ha,100ha,15
2015,10,Falls Creek,35417,83084,0.94,-2.9,0.91,1780m,1500m,450ha,100ha,15
2015,11,Falls Creek,37063,83084,3.36,-2.1,0.31,1780m,1500m,450ha,100ha,15
2015,12,Falls Creek,36903,83084,2.03,-3.51,3,1780m,1500m,450ha,100ha,15
2015,13,Falls Creek,33126,83084,3.24,-1.7,1.57,1780m,1500m,450ha,100ha,15
2015,14,Falls Creek,28099,83084,7.5,-0.03,0.31,1780m,1500m,450ha,100ha,15
2015,15,Falls Creek,18548,83084,5.93,0.09,0.86,1780m,1500m,450ha,100ha,15
2016,1,Falls Creek,3840,83084,5.23,-1.14,2.2,1780m,1500m,450ha,100ha,15
2016,2,Falls Creek,2176,83084,2.99,0.09,2.54,1780m,1500m,450ha,100ha,15
2016,3,Falls Creek,10297,83084,-0.91,-4.67,1.34,1780m,1500m,450ha,100ha,15
2016,4,Falls Creek,23077,83084,0.34,-2.73,3.31,1780m,1500m,450ha,100ha,15
2016,5,Falls Creek,33309,83084,0.83,-1.47,2.69,1780m,1500m,450ha,100ha,15
2016,6,Falls Creek,38818,83084,5.01,-1.03,0.91,1780m,1500m,450ha,100ha,15
2016,7,Falls Creek,30873,83084,0.53,-2.79,1.66,1780m,1500m,450ha,100ha,15
2016,8,Falls Creek,36692,83084,0,-2.67,1.03,1780m,1500m,450ha,100ha,15
2016,9,Falls Creek,40090,83084,0.83,-3.13,0.11,1780m,1500m,450ha,100ha,15
2016,10,Falls Creek,43213,83084,2.19,-2.09,0.8,1780m,1500m,450ha,100ha,15
2016,11,Falls Creek,43213,83084,1.04,-2.16,2.43,1780m,1500m,450ha,100ha,15
2016,12,Falls Creek,43275,83084,2.2,-2.86,0.17,1780m,1500m,450ha,100ha,15
2016,13,Falls Creek,33724,83084,6.7,-0.27,0.89,1780m,1500m,450ha,100ha,15
2016,14,Falls Creek,24144,83084,5.61,1.69,1.49,1780m,1500m,450ha,100ha,15
2016,15,Falls Creek,19696,83084,2.6,-2.01,1.91,1780m,1500m,450ha,100ha,15
2017,1,Falls Creek,5663,83084,7.26,0.24,0,1780m,1500m,450ha,100ha,15
2017,2,Falls Creek,3577,83084,6.9,1.07,0,1780m,1500m,450ha,100ha,15
2017,3,Falls Creek,7935,83084,0.13,-3.41,0.03,1780m,1500m,450ha,100ha,15
2017,4,Falls Creek,16182,83084,2.07,-2.89,0.97,1780m,1500m,450ha,100ha,15
2017,5,Falls Creek,30745,83084,-0.63,-3.59,0.51,1780m,1500m,450ha,100ha,15
2017,6,Falls Creek,38180,83084,-0.64,-4.17,2.8,1780m,1500m,450ha,100ha,15
2017,7,Falls Creek,30541,83084,0.36,-3.71,2.11,1780m,1500m,450ha,100ha,15
2017,8,Falls Creek,29332,83084,2.19,-2.93,0.91,1780m,1500m,450ha,100ha,15
2017,9,Falls Creek,34784,83084,-0.19,-2.99,3.2,1780m,1500m,450ha,100ha,15
2017,10,Falls Creek,39838,83084,1.54,-0.67,1.14,1780m,1500m,450ha,100ha,15
2017,11,Falls Creek,41643,83084,-0.19,-5,0.34,1780m,1500m,450ha,100ha,15
2017,12,Falls Creek,38487,83084,0.83,-5.96,2.69,1780m,1500m,450ha,100ha,15
2017,13,Falls Creek,34745,83084,1.31,-3.46,4.34,1780m,1500m,450ha,100ha,15
2017,14,Falls Creek,28865,83084,2.31,-2.44,2.51,1780m,1500m,450ha,100ha,15
2017,15,Falls Creek,21846,83084,4.23,-2.56,1.23,1780m,1500m,450ha,100ha,15
2018,1,Falls Creek,4735,83084,1.93,-1.4,2.66,1780m,1500m,450ha,100ha,15
2018,2,Falls Creek,3408,83084,-0.61,-4.24,0.37,1780m,1500m,450ha,100ha,15
2018,3,Falls Creek,8450,83084,2.49,-3.21,0,1780m,1500m,450ha,100ha,15
2018,4,Falls Creek,16200,83084,2.11,-1.99,2.23,1780m,1500m,450ha,100ha,15
2018,5,Falls Creek,32502,83084,0.76,-3.96,0.97,1780m,1500m,450ha,100ha,15
2018,6,Falls Creek,40750,83084,-0.2,-4.77,1.46,1780m,1500m,450ha,100ha,15
2018,7,Falls Creek,31768,83084,-0.41,-4.44,1.46,1780m,1500m,450ha,100ha,15
2018,8,Falls Creek,29814,83084,1.14,-2.36,4.6,1780m,1500m,450ha,100ha,15
2018,9,Falls Creek,33734,83084,0.63,-3.94,3.66,1780m,1500m,450ha,100ha,15
2018,10,Falls Creek,41774,83084,-0.43,-3.7,3.77,1780m,1500m,450ha,100ha,15
2018,11,Falls Creek,40149,83084,-0.66,-4.63,2.11,1780m,1500m,450ha,100ha,15
2018,12,Falls Creek,38075,83084,1.73,-4.94,0,1780m,1500m,450ha,100ha,15
2018,13,Falls Creek,32603,83084,2.73,-2.89,0.94,1780m,1500m,450ha,100ha,15
2018,14,Falls Creek,28410,83084,6.6,-0.06,0,1780m,1500m,450ha,100ha,15
2018,15,Falls Creek,19085,83084,2.94,-2.97,0,1780m,1500m,450ha,100ha,15
2019,1,Falls Creek,8702,83084,3.86,0.86,3.09,1780m,1500m,450ha,100ha,15
2019,2,Falls Creek,4257,83084,0.03,-4.49,1.11,1780m,1500m,450ha,100ha,15
2019,3,Falls Creek,7581,83084,4.99,-0.96,0.11,1780m,1500m,450ha,100ha,15
2019,4,Falls Creek,14826,83084,2.09,-2.23,0.43,1780m,1500m,450ha,100ha,15
2019,5,Falls Creek,31088,83084,0.37,-2.16,3.77,1780m,1500m,450ha,100ha,15
2019,6,Falls Creek,37988,83084,0.41,-3.97,3.17,1780m,1500m,450ha,100ha,15
2019,7,Falls Creek,33409,83084,2.27,-2.76,0.29,1780m,1500m,450ha,100ha,15
2019,8,Falls Creek,31157,83084,4.3,-1.99,1.8,1780m,1500m,450ha,100ha,15
2019,9,Falls Creek,34471,83084,0.57,-3.91,4.83,1780m,1500m,450ha,100ha,15
2019,10,Falls Creek,39514,83084,-0.07,-4.27,3.09,1780m,1500m,450ha,100ha,15
2019,11,Falls Creek,40569,83084,3.06,-3.81,3.8,1780m,1500m,450ha,100ha,15
2019,12,Falls Creek,38230,83084,3.36,-4.29,1.07,1780m,1500m,450ha,100ha,15
2019,13,Falls Creek,35090,83084,5.16,-0.23,3.2,1780m,1500m,450ha,100ha,15
2019,14,Falls Creek,30655,83084,5.17,-2.34,2.29,1780m,1500m,450ha,100ha,15
2019,15,Falls Creek,22832,83084,6.61,-0.16,1.17,1780m,1500m,450ha,100ha,15
2020,1,Falls Creek,2905,83084,3.97,-0.26,0.43,1780m,1500m,450ha,100ha,15
2020,2,Falls Creek,1931,83084,2.36,-0.26,1.4,1780m,1500m,450ha,100ha,15
2020,3,Falls Creek,1672,83084,2.56,-2.66,2.29,1780m,1500m,450ha,100ha,15
2020,4,Falls Creek,4208,83084,0.99,-3,1.63,1780m,1500m,450ha,100ha,15
2020,5,Falls Creek,7199,83084,2.01,-1.06,1.6,1780m,1500m,450ha,100ha,15
2020,6,Falls Creek,8741,83084,1.13,-2.74,1.43,1780m,1500m,450ha,100ha,15
2020,7,Falls Creek,6964,83084,4.43,-0.7,1.37,1780m,1500m,450ha,100ha,15
2020,8,Falls Creek,3407,83084,5.1,-1.54,0.31,1780m,1500m,450ha,100ha,15
2020,9,Falls Creek,4837,83084,0.53,-4.53,1.97,1780m,1500m,450ha,100ha,15
2020,10,Falls Creek,4869,83084,3.1,-0.67,2.26,1780m,1500m,450ha,100ha,15
2020,11,Falls Creek,0,83084,-1.01,-4.27,1.54,1780m,1500m,450ha,100ha,15
2020,12,Falls Creek,0,83084,2.96,-3.54,2.66,1780m,1500m,450ha,100ha,15
2020,13,Falls Creek,0,83084,5.33,-0.99,0.46,1780m,1500m,450ha,100ha,15
2020,14,Falls Creek,0,83084,8.34,1.16,1.57,1780m,1500m,450ha,100ha,15
2020,15,Falls Creek,0,83084,9.53,1.04,1.86,1780m,1500m,450ha,100ha,15
2021,1,Falls Creek,8585,83084,1.76,-1.64,3.23,1780m,1500m,450ha,100ha,15
2021,2,Falls Creek,13114,83084,1.21,-1.99,3,1780m,1500m,450ha,100ha,15
2021,3,Falls Creek,24383,83084,2.1,-1.34,3.23,1780m,1500m,450ha,100ha,15
2021,4,Falls Creek,31297,83084,0.66,-2.8,3.37,1780m,1500m,450ha,100ha,15
2021,5,Falls Creek,36763,83084,1.99,-2.33,1.06,1780m,1500m,450ha,100ha,15
2021,6,Falls Creek,14100,83084,-0.17,-2.8,3.29,1780m,1500m,450ha,100ha,15
2021,7,Falls Creek,7500,83084,-0.7,-4.31,0.57,1780m,1500m,450ha,100ha,15
2021,8,Falls Creek,22133,83084,0.61,-2.77,2.29,1780m,1500m,450ha,100ha,15
2021,9,Falls Creek,9250,83084,1.6,-2.6,2.49,1780m,1500m,450ha,100ha,15
2021,10,Falls Creek,14152,83084,1.8,-2.16,1.6,1780m,1500m,450ha,100ha,15
2021,11,Falls Creek,16893,83084,2.74,-1.11,1.71,1780m,1500m,450ha,100ha,15
2021,12,Falls Creek,10746,83084,0.97,-2.99,3.74,1780m,1500m,450ha,100ha,15
2021,13,Falls Creek,7505,83084,5.44,-0.34,4,1780m,1500m,450ha,100ha,15
2021,14,Falls Creek,7698,83084,4.5,-1.07,1.4,1780m,1500m,450ha,100ha,15
2021,15,Falls Creek,5282,83084,2.89,-2,0.89,1780m,1500m,450ha,100ha,15
2022,1,Falls Creek,16216,83084,0.34,-4.34,2.54,1780m,1500m,450ha,100ha,15
2022,2,Falls Creek,11828,83084,2.39,-1.41,3.29,1780m,1500m,450ha,100ha,15
2022,3,Falls Creek,21374,83084,2.14,-2.63,5.83,1780m,1500m,450ha,100ha,15
2022,4,Falls Creek,31895,83084,2.61,-3.56,1.09,1780m,1500m,450ha,100ha,15
2022,5,Falls Creek,36797,83084,-0.5,-3.8,1.34,1780m,1500m,450ha,100ha,15
2022,6,Falls Creek,40770,83084,-0.31,-5.77,0.71,1780m,1500m,450ha,100ha,15
2022,7,Falls Creek,38308,83084,2.79,-1.3,2.86,1780m,1500m,450ha,100ha,15
2022,8,Falls Creek,35915,83084,0.94,-3.57,2.77,1780m,1500m,450ha,100ha,15
2022,9,Falls Creek,39378,83084,0.9,-2.61,4.4,1780m,1500m,450ha,100ha,15
2022,10,Falls Creek,41541,83084,1.01,-2.07,2.06,1780m,1500m,450ha,100ha,15
2022,11,Falls Creek,44226,83084,0.26,-3.63,5,1780m,1500m,450ha,100ha,15
2022,12,Falls Creek,44959,83084,4.24,-0.91,4.14,1780m,1500m,450ha,100ha,15
2022,13,Falls Creek,35811,83084,3.16,-3.14,0.17,1780m,1500m,450ha,100ha,15
2022,14,Falls Creek,30281,83084,1.73,-2.46,2.83,1780m,1500m,450ha,100ha,15
2022,15,Falls Creek,26821,83084,2.63,-1.59,5.29,1780m,1500m,450ha,100ha,15
2023,1,Falls Creek,7332,83084,0.91,-1.8,3,1780m,1500m,450ha,100ha,15
2023,2,Falls Creek,7029,83084,-0.14,-3.07,1.83,1780m,1500m,450ha,100ha,15
2023,3,Falls Creek,16737,83084,-0.67,-3.39,0.43,1780m,1500m,450ha,100ha,15
2023,4,Falls Creek,29896,83084,2.63,-1.87,2.06,1780m,1500m,450ha,100ha,15
2023,5,Falls Creek,34384,83084,1.57,-2.07,2.94,1780m,1500m,450ha,100ha,15
2023,6,Falls Creek,39352,83084,2.71,-1.63,0.46,1780m,1500m,450ha,100ha,15
2023,7,Falls Creek,39492,83084,3.71,-1.8,0.49,1780m,1500m,450ha,100ha,15
2023,8,Falls Creek,35667,83084,3.24,-0.13,4.09,1780m,1500m,450ha,100ha,15
2023,9,Falls Creek,39490,83084,4.29,-0.67,0.4,1780m,1500m,450ha,100ha,15
2023,10,Falls Creek,43353,83084,2,-3.14,1.89,1780m,1500m,450ha,100ha,15
2023,11,Falls Creek,42005,83084,3.83,-1.29,4.14,1780m,1500m,450ha,100ha,15
2023,12,Falls Creek,36988,83084,5.91,0.81,4.4,1780m,1500m,450ha,100ha,15
2023,13,Falls Creek,28811,83084,7.26,-1.24,1.49,1780m,1500m,450ha,100ha,15
2023,14,Falls Creek,22814,83084,2.77,-2.27,1.83,1780m,1500m,450ha,100ha,15
2023,15,Falls Creek,16476,83084,6.9,0.36,1.8,1780m,1500m,450ha,100ha,15
2024,1,Falls Creek,5511,83084,2.59,-2.79,1.03,1780m,1500m,450ha,100ha,15
2024,2,Falls Creek,5506,83084,1.26,-4.73,0.51,1780m,1500m,450ha,100ha,15
2024,3,Falls Creek,6501,83084,0.96,-2.26,2.43,1780m,1500m,450ha,100ha,15
2024,4,Falls Creek,19666,83084,1.19,-3.91,0.46,1780m,1500m,450ha,100ha,15
2024,5,Falls Creek,40093,83084,3.31,-1.19,0.53,1780m,1500m,450ha,100ha,15
2024,6,Falls Creek,46620,83084,-0.27,-4.83,5.04,1780m,1500m,450ha,100ha,15
2024,7,Falls Creek,43349,83084,0.59,-2.6,2.39,1780m,1500m,450ha,100ha,15
2024,8,Falls Creek,43812,83084,2.28,-2.21,0.09,1780m,1500m,450ha,100ha,15
2024,9,Falls Creek,49697,83084,1.62,-2.31,1.37,1780m,1500m,450ha,100ha,15
2024,10,Falls Creek,38756,83084,5.83,1.6,0.17,1780m,1500m,450ha,100ha,15
2024,11,Falls Creek,38541,83084,4.02,0.45,4.6,1780m,1500m,450ha,100ha,15
2024,12,Falls Creek,42101,83084,3.21,-0.16,3.4,1780m,1500m,450ha,100ha,15
2024,13,Falls Creek,25252,83084,5.77,-0.51,2.71,1780m,1500m,450ha,100ha,15
2024,14,Falls Creek,17137,83084,5.9,-0.59,0.94,1780m,1500m,450ha,100ha,15
2024,15,Falls Creek,12950,83084,2.64,-3.61,1.26,1780m,1500m,450ha,100ha,15
2014,1,Mt. Buller,8296,83024,4.27,-0.01,2.71,1805m,1375m,300ha,70ha+,22
2014,2,Mt. Buller,1987,83024,5.26,-0.34,1.09,1805m,1375m,300ha,70ha+,22
2014,3,Mt. Buller,2413,83024,0.39,-2.51,1.43,1805m,1375m,300ha,70ha+,22
2014,4,Mt. Buller,18831,83024,0.96,-1.86,3.71,1805m,1375m,300ha,70ha+,22
2014,5,Mt. Buller,49217,83024,-0.29,-3.4,5.23,1805m,1375m,300ha,70ha+,22
2014,6,Mt. Buller,59693,83024,-1,-3.59,3.31,1805m,1375m,300ha,70ha+,22
2014,7,Mt. Buller,45788,83024,2.37,-1.51,1.49,1805m,1375m,300ha,70ha+,22
2014,8,Mt. Buller,41720,83024,0.44,-2.99,3.66,1805m,1375m,300ha,70ha+,22
2014,9,Mt. Buller,48984,83024,1.16,-3.51,0.94,1805m,1375m,300ha,70ha+,22
2014,10,Mt. Buller,47315,83024,3.71,-3.87,0.71,1805m,1375m,300ha,70ha+,22
2014,11,Mt. Buller,43314,83024,4.31,-0.33,0.06,1805m,1375m,300ha,70ha+,22
2014,12,Mt. Buller,41063,83024,7.09,1.17,0.09,1805m,1375m,300ha,70ha+,22
2014,13,Mt. Buller,41063,83024,4.41,-1.7,1,1805m,1375m,300ha,70ha+,22
2014,14,Mt. Buller,26222,83024,5.27,0.27,2.2,1805m,1375m,300ha,70ha+,22
2014,15,Mt. Buller,11881,83024,4.84,-1.51,2.97,1805m,1375m,300ha,70ha+,22
2015,1,Mt. Buller,15612,83024,6.5,0.19,0.14,1805m,1375m,300ha,70ha+,22
2015,2,Mt. Buller,6592,83024,2.8,-1.93,1.14,1805m,1375m,300ha,70ha+,22
2015,3,Mt. Buller,6648,83024,6.41,-0.56,0.09,1805m,1375m,300ha,70ha+,22
2015,4,Mt. Buller,18766,83024,-0.09,-3.89,1.69,1805m,1375m,300ha,70ha+,22
2015,5,Mt. Buller,38879,83024,0.63,-3.01,6.54,1805m,1375m,300ha,70ha+,22
2015,6,Mt. Buller,45629,83024,-1.14,-5.2,3.69,1805m,1375m,300ha,70ha+,22
2015,7,Mt. Buller,38873,83024,0.23,-2.47,2.03,1805m,1375m,300ha,70ha+,22
2015,8,Mt. Buller,36714,83024,-0.01,-4.33,3.26,1805m,1375m,300ha,70ha+,22
2015,9,Mt. Buller,38171,83024,-0.63,-4.63,3.66,1805m,1375m,300ha,70ha+,22
